ma_bg,ngay_tao,ngay_het_hieu_luc,ngay_het_hieu_luc_goc,ma_kh,ma_da,nguoi_duyet,vai_tro_nguoi_duyet,kenh_duyet,co_chung_tu,gia_tri,pct_ck,ma_khung,gia_han
BG0001,2026-02-07,2026-04-08,2026-04-08,KH01,DA01,Hoàng TGĐ,Trưởng KD,Zalo,Y,600000000,6.7,CK-DA-2026,N
BG0002,2026-04-23,2026-06-22,2026-06-22,KH02,DA02,Phạm GĐ,Trưởng KD,Email,Y,700000000,3.4,CK-DA-2026,N
BG0003,2026-03-02,2026-05-01,2026-05-01,KH03,DA03,Hoàng TGĐ,Giám đốc CN,Email,Y,1400000000,8.0,CK-DA-2026,N
BG0004,2026-03-27,2026-05-26,2026-05-26,KH04,DA04,Phạm GĐ,Trưởng KD,Zalo,Y,400000000,13.0,CK-DA-2026,N
BG0005,2026-04-03,2026-06-02,2026-06-02,KH05,DA05,Phạm GĐ,Giám đốc CN,Zalo,Y,1200000000,3.8,CK-DA-2026,N
BG0006,2026-03-16,2026-05-15,2026-05-15,KH06,DA06,Hoàng TGĐ,Trưởng KD,System,Y,1000000000,6.1,CK-DA-Q1,N
BG0007,2026-02-12,2026-04-13,2026-04-13,KH07,DA07,Hoàng TGĐ,Giám đốc CN,Zalo,Y,2200000000,3.4,CK-DA-2026,N
BG0008,2026-01-17,2026-03-18,2026-03-18,KH08,DA08,Hoàng TGĐ,NV KD,Email,Y,1500000000,7.5,CK-DA-2026,N
BG0009,2026-04-29,2026-06-28,2026-06-28,KH09,DA09,Phạm GĐ,Giám đốc CN,Email,Y,1900000000,7.6,CK-DA-2026,N
BG0010,2026-05-11,2026-08-04,2026-07-10,KH10,DA10,Lê Trưởng KD,Trưởng KD,Zalo,Y,300000000,7.3,CK-DA-2026,Y
BG0011,2026-02-28,2026-04-29,2026-04-29,KH11,DA11,Lê Trưởng KD,Trưởng KD,System,Y,700000000,6.8,CK-DA-2026,N
BG0012,2026-02-13,2026-04-14,2026-04-14,KH12,DA12,Hoàng TGĐ,Trưởng KD,Zalo,N,1000000000,7.6,CK-DA-2026,N
BG0013,2026-02-14,2026-04-15,2026-04-15,KH01,DA01,Hoàng TGĐ,Giám đốc CN,Email,Y,2000000000,3.9,CK-DA-2026,N
BG0014,2026-04-18,2026-06-17,2026-06-17,KH02,DA02,Hoàng TGĐ,Trưởng KD,Email,Y,700000000,6.4,CK-PROMO-2025,N
BG0015,2026-01-24,2026-03-25,2026-03-25,KH03,DA03,Hoàng TGĐ,Trưởng KD,System,Y,900000000,6.9,CK-DA-2026,N
BG0016,2026-03-28,2026-05-27,2026-05-27,KH04,DA04,Lê Trưởng KD,NV KD,Zalo,Y,1500000000,7.7,CK-DA-2026,N
BG0017,2026-02-18,2026-04-19,2026-04-19,KH05,DA05,Lê Trưởng KD,Giám đốc CN,System,Y,2000000000,3.7,CK-DA-2026,N
BG0018,2026-05-12,2026-07-11,2026-07-11,KH06,DA06,Lê Trưởng KD,Giám đốc CN,Email,Y,1100000000,5.9,CK-DA-2026,N
BG0019,2026-02-13,2026-05-24,2026-04-14,KH07,DA07,Lê Trưởng KD,Giám đốc CN,Zalo,Y,1900000000,3.3,CK-DA-2026,Y
BG0020,2026-04-25,2026-06-24,2026-06-24,KH08,DA08,Lê Trưởng KD,Giám đốc CN,Email,Y,2500000000,3.9,CK-DA-2026,N
BG0021,2026-03-28,2026-05-27,2026-05-27,KH09,DA09,Phạm GĐ,Trưởng KD,Zalo,N,400000000,5.2,CK-DA-2026,N
BG0022,2026-04-28,2026-06-27,2026-06-27,KH10,DA10,Lê Trưởng KD,Giám đốc CN,Zalo,Y,1300000000,4.5,CK-DA-2026,N
BG0023,2026-03-11,2026-05-10,2026-05-10,KH11,DA11,Phạm GĐ,Giám đốc CN,Email,Y,2200000000,4.7,CK-DA-Q1,N
BG0024,2026-04-27,2026-06-26,2026-06-26,KH12,DA12,Phạm GĐ,Giám đốc CN,Zalo,Y,2100000000,7.4,CK-DA-2026,N
BG0025,2026-03-01,2026-04-30,2026-04-30,KH01,DA01,Lê Trưởng KD,Giám đốc CN,System,Y,2400000000,4.3,CK-DA-2026,N
