ma_bg,ma_don,so_tien_coc,pct_tren_bg,ngay
BG0001,DH00001,104400000,0.174,2026-04-04
BG0002,DH00002,223300000,0.319,2026-06-16
BG0003,DH00003,326200000,0.233,2026-04-18
BG0004,DH00004,92000000,0.23,2026-04-08
BG0005,DH00005,411600000,0.343,2026-04-27
BG0006,DH00006,118000000,0.118,2026-05-04
BG0007,DH00007,426800000,0.194,2026-04-19
BG0008,DH00008,327000000,0.218,2026-02-23
BG0009,DH00009,488300000,0.257,2026-06-12
BG0010,DH00010,54300000,0.181,2026-06-15
BG0011,DH00011,39900000,0.057,2026-03-31
BG0012,DH00012,169000000,0.169,2026-03-14
BG0013,DH00013,770000000,0.385,2026-04-25
BG0014,DH00014,112000000,0.16,2026-05-13
BG0015,DH00015,336600000,0.374,2026-03-01
BG0016,DH00016,531000000,0.354,2026-04-19
BG0017,DH00017,232000000,0.116,2026-04-01
BG0018,DH00018,418000000,0.38,2026-06-14
BG0019,DH00019,619400000,0.326,2026-03-15
BG0020,DH00020,810000000,0.324,2026-05-31
BG0021,DH00021,77600000,0.194,2026-04-16
BG0022,DH00022,471900000,0.363,2026-05-29
BG0023,DH00023,437800000,0.199,2026-04-06
BG0024,DH00024,554400000,0.264,2026-05-18
BG0025,DH00025,285600000,0.119,2026-03-13
BG0026,DH00026,109900000,0.157,2026-02-15
BG0027,DH00027,559500000,0.373,2026-06-02
BG0028,DH00028,569500000,0.335,2026-03-05
BG0029,DH00029,561000000,0.255,2026-05-10
BG0030,DH00030,177600000,0.296,2026-02-06
BG0031,DH00031,664800000,0.277,2026-07-08
BG0032,DH00032,454000000,0.227,2026-06-22
BG0033,DH00033,336700000,0.259,2026-03-05
BG0034,DH00034,343500000,0.229,2026-02-26
BG0035,DH00035,693000000,0.315,2026-03-08
BG0036,DH00036,216600000,0.361,2026-03-11
BG0037,DH00037,347200000,0.217,2026-06-03
BG0038,DH00038,501800000,0.386,2026-02-10
BG0039,DH00039,57000000,0.19,2026-05-17
BG0040,DH00040,604800000,0.252,2026-02-25
BG0041,DH00041,714600000,0.397,2026-02-01
BG0042,DH00042,682500000,0.325,2026-01-17
BG0043,DH00043,352800000,0.168,2026-05-01
BG0044,DH00044,90400000,0.226,2026-05-18
BG0045,DH00045,518000000,0.259,2026-02-09
BG0046,DH00046,435500000,0.335,2026-02-24
BG0047,DH00047,820000000,0.328,2026-02-26
BG0048,DH00048,92500000,0.185,2026-04-26
BG0049,DH00049,180000000,0.15,2026-05-31
BG0050,DH00050,151200000,0.216,2026-03-13
BG0051,DH00051,186200000,0.266,2026-04-23
BG0052,DH00052,143200000,0.179,2026-04-11
BG0001,DH00053,154200000,0.257,2026-03-21
BG0002,DH00054,126000000,0.18,2026-05-09
BG0003,DH00055,529200000,0.378,2026-03-11
BG0004,DH00056,76400000,0.191,2026-04-17
BG0005,DH00057,205200000,0.171,2026-05-18
BG0006,DH00058,164000000,0.164,2026-04-24
BG0007,DH00059,543400000,0.247,2026-02-28
BG0008,DH00060,493500000,0.329,2026-03-02
BG0009,DH00061,530100000,0.279,2026-06-06
BG0010,DH00062,103499999,0.345,2026-06-13
BG0011,DH00063,245699999,0.351,2026-04-07
BG0012,DH00064,203000000,0.203,2026-03-22
BG0013,DH00065,342000000,0.171,2026-03-24
BG0014,DH00066,247800000,0.354,2026-05-06
BG0015,DH00067,197100000,0.219,2026-02-03
BG0016,DH00068,434999999,0.29,2026-05-05
BG0017,DH00069,378000000,0.189,2026-03-02
BG0018,DH00070,334400000,0.304,2026-06-13
