ma_da,ten_da,dia_chi,chu_dau_tu,gia_tri_da
DA01,Dự án Bình 1,"71 Đường Nguyễn Huệ, Hà Nội",KH01,3700000000
DA02,Dự án Coteccons 2,"31 Đường Trần Hưng Đạo, Đà Nẵng",KH02,1400000000
DA03,Dự án Vinaconex 3,,,3800000000
DA04,Dự án Delta 4,"240 Đường Lê Lợi, TP.HCM",KH04,2600000000
DA05,Dự án Newtecons 5,"86 Đường Lê Lợi, Hải Phòng",KH05,1800000000
DA06,Dự án Newtecons 5,"86 Đường Lê Lợi, Hải Phòng",KH06,1400000000
DA07,Dự án Thịnh 7,"198 Đường Trần Hưng Đạo, Hải Phòng",KH07,600000000
DA08,Dự án Long 8,"89 Đường Trần Hưng Đạo, Đà Nẵng",KH08,3200000000
DA09,Dự án Xanh 9,"64 Đường Trần Hưng Đạo, Hải Phòng",KH09,60000000
DA10,Dự án Hưng 10,"113 Đường Lê Lợi, Đà Nẵng",KH10,3500000000
DA11,Dự án Gia 11,"2 Đường Trần Hưng Đạo, Hà Nội",KH11,1700000000
DA12,Dự án Sunshine 12,"54 Đường Nguyễn Huệ, Hà Nội",KH12,500000000
