ma_don,buoc,thu_tu,timestamp,user,co_chung_tu
DH00001,tham_dinh_da,1,2026-04-03T07:00:00,kt01,Y
DH00001,tgd_duyet,2,2026-04-04T05:00:00,kho01,Y
DH00001,xac_nhan_coc,3,2026-04-05T05:00:00,tgd,N
DH00001,check_cong_no,4,2026-04-06T03:00:00,kt01,N
DH00001,dat_don,5,2026-04-07T08:00:00,tgd,N
DH00001,giao_hang,6,2026-04-08T05:00:00,kt01,Y
DH00001,thanh_toan,7,2026-04-09T02:00:00,kt01,N
DH00002,tham_dinh_da,1,2026-06-09T06:00:00,tgd,Y
DH00002,tgd_duyet,2,2026-06-10T08:00:00,kho01,Y
DH00002,xac_nhan_coc,3,2026-06-11T05:00:00,tgd,N
DH00002,check_cong_no,4,2026-06-12T06:00:00,tgd,N
DH00002,dat_don,5,2026-06-13T05:00:00,tgd,Y
DH00002,giao_hang,6,2026-06-14T02:00:00,kt01,N
DH00002,thanh_toan,7,2026-06-15T03:00:00,kho01,Y
DH00003,tham_dinh_da,1,2026-04-10T01:00:00,kd01,N
DH00003,tgd_duyet,2,2026-04-11T08:00:00,kd01,N
DH00003,xac_nhan_coc,3,2026-04-12T08:00:00,kt01,N
DH00003,check_cong_no,4,2026-04-13T08:00:00,kd01,Y
DH00003,dat_don,5,2026-04-14T02:00:00,kt01,N
DH00003,giao_hang,6,2026-04-15T05:00:00,kd01,Y
DH00003,thanh_toan,7,2026-04-16T05:00:00,tgd,Y
DH00004,tham_dinh_da,1,2026-04-06T00:00:00,tgd,N
DH00004,tgd_duyet,2,2026-04-07T02:00:00,kho01,Y
DH00004,xac_nhan_coc,3,2026-04-08T05:00:00,kho01,Y
DH00004,check_cong_no,4,2026-04-09T05:00:00,tgd,Y
DH00004,dat_don,5,2026-04-10T05:00:00,kd01,Y
DH00004,giao_hang,6,2026-04-11T01:00:00,tgd,N
DH00004,thanh_toan,7,2026-04-12T01:00:00,tgd,Y
DH00005,tham_dinh_da,1,2026-04-23T02:00:00,kt01,Y
DH00005,tgd_duyet,2,2026-04-24T02:00:00,kd01,Y
DH00005,xac_nhan_coc,3,2026-04-25T00:00:00,kd01,N
DH00005,check_cong_no,4,2026-04-26T03:00:00,tgd,N
DH00005,dat_don,5,2026-04-27T03:00:00,kd01,Y
DH00005,giao_hang,6,2026-04-28T06:00:00,kho01,Y
DH00005,thanh_toan,7,2026-04-29T00:00:00,kho01,Y
DH00006,tham_dinh_da,1,2026-04-26T01:00:00,kho01,Y
DH00006,tgd_duyet,2,2026-04-27T02:00:00,tgd,N
DH00006,xac_nhan_coc,3,2026-04-28T04:00:00,tgd,N
DH00006,check_cong_no,4,2026-04-29T06:00:00,tgd,Y
DH00006,dat_don,5,2026-04-30T08:00:00,kho01,Y
DH00006,giao_hang,6,2026-05-01T05:00:00,kho01,N
DH00006,thanh_toan,7,2026-05-02T00:00:00,kho01,N
DH00007,tham_dinh_da,1,2026-04-17T07:00:00,kt01,Y
DH00007,tgd_duyet,2,2026-04-18T08:00:00,tgd,Y
DH00007,xac_nhan_coc,3,2026-04-19T02:00:00,kho01,N
DH00007,check_cong_no,4,2026-04-20T04:00:00,kho01,N
DH00007,dat_don,5,2026-04-21T06:00:00,tgd,Y
DH00007,giao_hang,6,2026-04-22T07:00:00,kd01,Y
DH00007,thanh_toan,7,2026-04-23T00:00:00,kd01,Y
DH00008,tham_dinh_da,1,2026-02-22T06:00:00,kho01,Y
DH00008,tgd_duyet,2,2026-02-23T08:00:00,kd01,Y
DH00008,xac_nhan_coc,3,2026-02-24T08:00:00,kt01,Y
DH00008,check_cong_no,4,2026-02-25T08:00:00,tgd,Y
DH00008,dat_don,5,2026-02-26T03:00:00,kd01,Y
DH00008,giao_hang,6,2026-02-27T07:00:00,tgd,Y
DH00008,thanh_toan,7,2026-02-28T00:00:00,tgd,Y
DH00009,tham_dinh_da,1,2026-06-04T03:00:00,tgd,Y
DH00009,tgd_duyet,2,2026-06-05T06:00:00,kt01,Y
DH00009,xac_nhan_coc,3,2026-06-06T02:00:00,tgd,Y
DH00009,check_cong_no,4,2026-06-07T05:00:00,kho01,Y
DH00009,dat_don,5,2026-06-08T01:00:00,kd01,Y
DH00009,giao_hang,6,2026-06-09T01:00:00,kho01,Y
DH00009,thanh_toan,7,2026-06-10T00:00:00,tgd,N
DH00010,tham_dinh_da,1,2026-06-09T06:00:00,kho01,Y
DH00010,tgd_duyet,2,2026-06-10T02:00:00,kt01,N
DH00010,xac_nhan_coc,3,2026-06-11T05:00:00,kd01,Y
DH00010,check_cong_no,4,2026-06-12T01:00:00,tgd,Y
DH00010,dat_don,5,2026-06-13T07:00:00,kho01,Y
DH00010,giao_hang,6,2026-06-14T05:00:00,kd01,N
