ma_don,sku,phan_loai,so_luong,gia_tri
DH00001,CXV-1x300,du_an,1170,631800000
DH00001,CXV-3x240,du_an,1570,2119500000
DH00002,CXV-3x240,du_an,1513,2042550000
DH00002,CXV-1x300,du_an,1804,974160000
DH00002,CV-2.5,dan_dung,1964,37316000
DH00003,ACSV-95,du_an,1383,290430000
DH00004,CXV-1x300,du_an,1389,750060000
DH00004,AXV-150,du_an,711,227520000
DH00004,CV-2.5,dan_dung,2811,53409000
DH00006,ACSV-95,du_an,559,117390000
DH00006,CXV-1x300,du_an,1779,960660000
DH00006,VCmd-2x1.5,dan_dung,818,22086000
DH00007,AXV-150,du_an,1379,441280000
DH00007,VCmd-2x1.5,dan_dung,1727,46629000
DH00008,AXV-150,du_an,387,123840000
DH00008,AXV-150,du_an,1994,638080000
DH00008,CXV-3x240,du_an,698,942300000
DH00009,CXV-3x240,du_an,1877,2533950000
DH00009,CXV-1x300,du_an,1749,944460000
DH00009,CV-4.0,dan_dung,2359,73129000
DH00011,CXV-3x240,du_an,459,619650000
DH00012,ACSV-95,du_an,399,83790000
DH00012,CXV-1x300,du_an,1175,634500000
DH00012,CXV-3x240,du_an,1348,1819800000
DH00013,ACSV-95,du_an,1266,265860000
DH00013,CV-1.5,dan_dung,874,10488000
DH00014,CXV-3x240,du_an,1547,2088450000
DH00014,VCmd-2x1.5,dan_dung,2075,56025000
DH00016,CXV-1x300,du_an,503,271620000
DH00016,AXV-150,du_an,526,168320000
DH00016,CXV-1x300,du_an,1856,1002240000
DH00016,CV-1.5,dan_dung,825,9900000
DH00017,CXV-1x300,du_an,303,163620000
DH00017,AXV-150,du_an,507,162240000
DH00018,CXV-4x185,du_an,1711,2018980000
DH00018,VCmd-2x1.5,dan_dung,2002,54054000
DH00019,AXV-150,du_an,1990,636800000
DH00020,AXV-150,du_an,1524,487680000
DH00020,CXV-1x300,du_an,1651,891540000
DH00020,CXV-3x240,du_an,678,915300000
DH00021,CXV-3x240,du_an,449,606150000
DH00021,ACSV-95,du_an,925,194250000
DH00021,CV-1.5,dan_dung,2690,32280000
DH00022,CXV-3x240,du_an,1950,2632500000
DH00022,CXV-1x300,du_an,361,194940000
DH00022,CV-4.0,dan_dung,659,20429000
DH00023,ACSV-95,du_an,630,132300000
DH00023,CXV-1x300,du_an,391,211140000
DH00024,CXV-1x300,du_an,698,376920000
DH00024,AXV-150,du_an,1596,510720000
DH00024,CXV-3x240,du_an,1831,2471850000
DH00024,CV-2.5,dan_dung,2972,56468000
DH00025,CXV-3x240,du_an,662,893700000
DH00026,CXV-3x240,du_an,1122,1514700000
DH00026,ACSV-95,du_an,1053,221130000
DH00027,CXV-3x240,du_an,871,1175850000
DH00027,CXV-1x300,du_an,1468,792720000
DH00028,ACSV-95,du_an,1522,319620000
DH00028,VCmd-2x1.5,dan_dung,1636,44172000
DH00029,ACSV-95,du_an,218,45780000
DH00030,AXV-150,du_an,473,151360000
DH00030,ACSV-95,du_an,1520,319200000
DH00030,VCmd-2x1.5,dan_dung,786,21222000
DH00031,ACSV-95,du_an,1756,368760000
DH00031,CV-4.0,dan_dung,1667,51677000
DH00032,CXV-1x300,du_an,425,229500000
DH00032,AXV-150,du_an,1671,534720000
DH00033,ACSV-95,du_an,1894,397740000
DH00033,CXV-1x300,du_an,1625,877500000
DH00034,CXV-1x300,du_an,1649,890460000
DH00034,ACSV-95,du_an,1455,305550000
DH00035,AXV-150,du_an,254,81280000
DH00035,CV-2.5,dan_dung,607,11533000
DH00036,ACSV-95,du_an,242,50820000
DH00036,CXV-3x240,du_an,1693,2285550000
DH00036,CV-2.5,dan_dung,2516,47804000
DH00037,ACSV-95,du_an,728,152880000
DH00037,CXV-3x240,du_an,1803,2434050000
DH00038,CXV-3x240,du_an,1707,2304450000
DH00038,ACSV-95,du_an,1749,367290000
DH00038,VCmd-2x1.5,dan_dung,1474,39798000
