ma_dai_ly,sku,ton,toc_do_ban_bq
DL01,CXV-3x240,693,102
DL01,CXV-4x185,623,67
DL01,CXV-1x300,816,56
DL01,ACSV-95,1359,49
DL01,AXV-150,381,81
DL02,CXV-3x240,751,68
DL02,CXV-4x185,223,75
DL02,CXV-1x300,650,50
DL02,ACSV-95,663,25
DL02,AXV-150,1350,30
DL03,CXV-3x240,1408,87
DL03,CXV-4x185,356,51
DL03,CXV-1x300,470,97
DL03,ACSV-95,460,59
DL03,AXV-150,513,99
DL04,CXV-3x240,1061,86
DL04,CXV-4x185,923,48
DL04,CXV-1x300,977,55
DL04,ACSV-95,468,51
DL04,AXV-150,288,20
DL05,CXV-3x240,1495,107
DL05,CXV-4x185,921,35
DL05,CXV-1x300,293,101
DL05,ACSV-95,201,46
DL05,AXV-150,754,35
DL06,CXV-3x240,1233,73
DL06,CXV-4x185,891,87
DL06,CXV-1x300,1357,120
DL06,ACSV-95,1176,89
DL06,AXV-150,294,70
DL07,CXV-3x240,888,52
DL07,CXV-4x185,1084,71
DL07,CXV-1x300,939,101
DL07,ACSV-95,862,59
DL07,AXV-150,602,120
DL08,CXV-3x240,883,89
DL08,CXV-4x185,815,120
DL08,CXV-1x300,1357,68
DL08,ACSV-95,721,56
DL08,AXV-150,862,97
DL09,CXV-3x240,1036,107
DL09,CXV-4x185,1287,118
DL09,CXV-1x300,394,31
DL09,ACSV-95,374,99
DL09,AXV-150,544,43
DL10,CXV-3x240,709,110
DL10,CXV-4x185,345,75
DL10,CXV-1x300,1362,68
DL10,ACSV-95,1076,94
DL10,AXV-150,998,110
DL11,CXV-3x240,801,83
DL11,CXV-4x185,1202,113
DL11,CXV-1x300,799,107
DL11,ACSV-95,441,80
DL11,AXV-150,291,63
